"Organism","Element ID","Element Description","Promoter","Transgenesis","Stage","Expression","Tissues","Genome Assembly","Element Coordinates"
"Mouse","mm1066.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:51005009-51008668"
"Mouse","mm107.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr16:92427457-92430131"
"Mouse","mm1071.0","reference","Hsp68","random","e11.5","negative","","mm10","chr4:52089413-52092529"
"Mouse","mm1073.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:114086051-114090201"
"Mouse","mm1074.0","reference","Hsp68","random","e11.5","negative","","mm10","chr8:39455231-39458313"
"Mouse","mm1076.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:149497336-149500398"
"Mouse","mm1077.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:72322716-72325741"
"Mouse","mm1079.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:128743462-128746887"
"Mouse","mm108.0","reference","Hsp68","random","e11.5","positive","Nose, Heart, Liver","mm10","chr17:7268497-7269968"
"Mouse","mm1082.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:186598967-186601967"
"Mouse","mm1083.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:18658959-18662653"
"Mouse","mm1087.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr4:154471428-154474118"
"Mouse","mm1088.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb, Forebrain","mm10","chr4:154771105-154772345"
"Mouse","mm1089.0","reference","Hsp68","random","e11.5","negative","","mm10","chr4:154786741-154788702"
"Mouse","mm109.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr18:56896920-56898991"
"Mouse","mm1090.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Nose, Limb","mm10","chr4:154801901-154803150"
"Mouse","mm1092.0","reference","Hsp68","random","e11.5","positive","Melanocytes","mm10","chr1:78059403-78061507"
"Mouse","mm1094.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:78187095-78188220"
"Mouse","mm1095.0","reference","Hsp68","random","e11.5","positive","Cranial nerve, Trigeminal V (ganglion, cranial)","mm10","chr16:26025208-26026483"
"Mouse","mm1096.0","reference","Hsp68","random","e11.5","negative","","mm10","chr19:37701697-37704431"
"Mouse","mm1097.0","reference","Hsp68","random","e11.5","positive","Nose, Limb","mm10","chr16:26040841-26042843"
"Mouse","mm1097.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme, Nose, Limb, Genital tubercle, Other","mm10","chr16:26040841-26042843"
"Mouse","mm1098.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Somite","mm10","chr19:47301206-47302240"
"Mouse","mm1099.0","reference","Hsp68","random","e11.5","positive","Heart, Other","mm10","chr2:114807683-114808819"
"Mouse","mm11.0","reference","Hsp68","random","e11.5","negative","","mm10","chr14:61005070-61005254"
"Mouse","mm1100.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:114853009-114854502"
"Mouse","mm1101.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:113595386-113596088"
"Mouse","mm1102.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr11:103840623-103842229"
"Mouse","mm1103.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb, Eye","mm10","chr11:16558869-16559788"
"Mouse","mm1105.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Nose, Limb","mm10","chr17:83913105-83914232"
"Mouse","mm1106.0","reference","Hsp68","random","e11.5","negative","","mm10","chr17:83938285-83939785"
"Mouse","mm1107.0","reference","Hsp68","random","e11.5","negative","","mm10","chr17:83989991-83991543"
"Mouse","mm1107.0","reference","Hsp68","random","e14.5","negative","","mm10","chr17:83989991-83991543"
"Mouse","mm1108.0","reference","Hsp68","random","e11.5","positive","Branchial arch","mm10","chr17:84182448-84183800"
"Mouse","mm1109.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr17:84421720-84422938"
"Mouse","mm1109.0","reference","Hsp68","random","e14.5","positive","Branchial arch, Nose, Limb","mm10","chr17:84421720-84422938"
"Mouse","mm111.0","reference","Hsp68","random","e11.5","positive","Cranial nerve","mm10","chr1:187907532-187909056"
"Mouse","mm1110.0","reference","Hsp68","random","e11.5","negative","","mm10","chr14:105478827-105481127"
"Mouse","mm1111.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Forebrain, Midbrain, Hindbrain","mm10","chr14:105482173-105484961"
"Mouse","mm1112.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb, Other","mm10","chr14:105571300-105573843"
"Mouse","mm1113.0","reference","Hsp68","random","e11.5","negative","","mm10","chr14:105736207-105737279"
"Mouse","mm1114.0","reference","Hsp68","random","e11.5","positive","Branchial arch","mm10","chr14:105979372-105980837"
"Mouse","mm1115.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:159480710-159482703"
"Mouse","mm1116.0","reference","Hsp68","random","e14.5","negative","","mm10","chr10:21240528-21242879"
"Mouse","mm1117.0","reference","Hsp68","random","e14.5","positive","Liver","mm10","chr11:24134122-24137934"
"Mouse","mm1119.0","reference","Hsp68","random","e14.5","positive","Heart, Liver","mm10","chr10:17594741-17598068"
"Mouse","mm112.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:133549313-133550884"
"Mouse","mm1121.0","reference","Hsp68","random","e14.5","negative","","mm10","chr13:63185425-63188847"
"Mouse","mm1122.0","reference","Hsp68","random","e14.5","positive","Forebrain","mm10","chr14:60552728-60556031"
"Mouse","mm1123.0","reference","Hsp68","random","e14.5","positive","Heart, Blood vessels, Liver","mm10","chr15:59678754-59681855"
"Mouse","mm1125.0","reference","Hsp68","random","e14.5","positive","Heart, Liver","mm10","chr19:11726441-11728674"
"Mouse","mm113.0","reference","Hsp68","random","e11.5","positive","Midbrain, Dorsal root ganglion","mm10","chr16:92340504-92342017"
"Mouse","mm1130.0","reference","Hsp68","random","e14.5","positive","Liver","mm10","chr5:103827142-103830437"
"Mouse","mm1142.0","reference","Hsp68","random","e14.5","positive","Limb","mm10","chr1:74961424-74966078"
"Mouse","mm1143.0","reference","Hsp68","random","e14.5","positive","Ear","mm10","chr1:74976716-74979962"
"Mouse","mm1144.0","reference","Hsp68","random","e14.5","negative","","mm10","chr1:75005188-75007089"
"Mouse","mm1145.0","reference","Hsp68","random","e14.5","positive","Limb","mm10","chr1:75012511-75017446"
"Mouse","mm1145.0","reference","Hsp68","random","e17.5","positive","Limb","mm10","chr1:75012511-75017446"
"Mouse","mm1146.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme, Limb","mm10","chr1:75021662-75026410"
"Mouse","mm1148.0","reference","Hsp68","random","e14.5","negative","","mm10","chr1:74999689-75002451"
"Mouse","mm116.0","reference","Hsp68","random","e11.5","positive","Limb, Other","mm10","chr10:14463667-14464562"
"Mouse","mm1162.0","reference","Hsp68","random","e10.5","positive","Limb, Neural tube","mm10","chr4:154422563-154424977"
"Mouse","mm1164.0","reference","Hsp68","random","e10.5","positive","Heart","mm10","chr15:56720139-56721671"
"Mouse","mm1165.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Nose","mm10","chr5:38085380-38086670"
"Mouse","mm1166.0","reference","Hsp68","random","e14.5","positive","Nose, Limb, Ear, Forebrain","mm10","chr15:63339938-63341192"
"Mouse","mm1167.0","reference","Hsp68","random","e14.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr7:130046538-130048438"
"Mouse","mm1168.0","reference","Hsp68","random","e11.5","negative","","mm10","chrX:93067834-93070749"
"Mouse","mm1169.0","reference","Hsp68","random","e11.5","negative","","mm10","chrX:93106930-93109252"
"Mouse","mm1171.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:43707408-43710976"
"Mouse","mm1174.0","reference","Hsp68","random","e11.5","negative","","mm10","chr4:105427474-105428608"
"Mouse","mm1175.0","reference","Hsp68","random","e11.5","positive","Blood vessels","mm10","chr13:83571867-83572485"
"Mouse","mm1176.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr4:105100117-105101229"
"Mouse","mm1177.0","reference","Hsp68","random","e10.5","positive","Limb","mm10","chr5:119610929-119613436"
"Mouse","mm1177.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr5:119610929-119613436"
"Mouse","mm1179.0","reference","Hsp68","random","e10.5","positive","Limb","mm10","chr13:15342707-15344218"
"Mouse","mm1179.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr13:15342707-15344218"
"Mouse","mm1179.0","reference","Shh","targeted (H11)","e11.5","positive","Limb","mm10","chr13:15342707-15344218"
"Mouse","mm1180.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:15445436-15446722"
"Mouse","mm1181.0","reference","Hsp68","random","e12.5","positive","Other","mm10","chr11:32245545-32246028"
"Mouse","mm1181.0","reference","Hsp68","random","e8.5","positive","Other","mm10","chr11:32245545-32246028"
"Mouse","mm1182.0","reference","Hsp68","random","e12.5","positive","Other","mm10","chr11:32250809-32251364"
"Mouse","mm1182.0","reference","Hsp68","random","e8.5","positive","Other","mm10","chr11:32250809-32251364"
"Mouse","mm1183.0","reference","Hsp68","random","e12.5","negative","","mm10","chr11:32256073-32256641"
"Mouse","mm1183.0","reference","Hsp68","random","e8.5","negative","","mm10","chr11:32256073-32256641"
"Mouse","mm1184.0","reference","Hsp68","random","e12.5","negative","","mm10","chr11:32265221-32265545"
"Mouse","mm1184.0","reference","Hsp68","random","e8.5","negative","","mm10","chr11:32265221-32265545"
"Mouse","mm1185.0","reference","Hsp68","random","e12.5","negative","","mm10","chr11:32268949-32269339"
"Mouse","mm1185.0","reference","Hsp68","random","e9.5","negative","","mm10","chr11:32268949-32269339"
"Mouse","mm1188.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr12:53874311-53876622"
"Mouse","mm1189.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr5:29314881-29315667"
"Mouse","mm1189.1","mm1189 with 1 ETF1 site and another motif site deleted","Hsp68","random","e11.5","allelic","","mm10","chr5:29314881-29315667"
"Mouse","mm119.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr1:189187276-189188601"
"Mouse","mm1191.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr5:24494493-24495998"
"Mouse","mm1193.0","reference","Hsp68","random","e11.5","positive","Forebrain","mm10","chr3:86857660-86859321"
"Mouse","mm1194.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:97007285-97008844"
"Mouse","mm1196.0","reference","Hsp68","random","e13.5","positive","Forebrain, Cranial nerve","mm10","chr2:22292960-22294671"
"Mouse","mm1197.0","reference","Hsp68","random","e13.5","positive","Forebrain, Hindbrain","mm10","chr1:89750300-89751926"
"Mouse","mm1198.0","reference","Hsp68","random","e13.5","positive","Forebrain, Eye","mm10","chr1:89738642-89740375"
"Mouse","mm1199.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Neural tube","mm10","chr6:138419676-138421159"
"Mouse","mm1199.0","reference","Hsp68","random","e13.5","positive","Forebrain, Midbrain","mm10","chr6:138419676-138421159"
"Mouse","mm12.0","reference","Hsp68","random","e11.5","positive","Neural tube","mm10","chr12:99338624-99341271"
"Mouse","mm1200.0","reference","Hsp68","random","e13.5","positive","Forebrain","mm10","chr2:115724850-115726303"
"Mouse","mm1202.0","reference","Hsp68","random","e13.5","positive","Forebrain","mm10","chr12:88800520-88802232"
"Mouse","mm1203.0","reference","Hsp68","random","e13.5","positive","Forebrain, Midbrain","mm10","chr12:88859489-88860938"
"Mouse","mm1204.0","reference","Hsp68","random","e13.5","positive","Forebrain","mm10","chr1:194226282-194227987"
"Mouse","mm1205.0","reference","Hsp68","random","e13.5","positive","Neural tube","mm10","chr2:34106373-34108106"
"Mouse","mm1206.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Forebrain, Midbrain","mm10","chr2:158556162-158557784"
"Mouse","mm1206.0","reference","Hsp68","random","e13.5","positive","Forebrain","mm10","chr2:158556162-158557784"
"Mouse","mm1207.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain","mm10","chr12:26929754-26931358"
"Mouse","mm1207.0","reference","Hsp68","random","e13.5","positive","Forebrain, Midbrain","mm10","chr12:26929754-26931358"
"Mouse","mm1208.0","reference","Hsp68","random","e12.5","positive","Forebrain, Eye","mm10","chr12:26905481-26907096"
"Mouse","mm1208.0","reference","Hsp68","random","e13.5","positive","Forebrain","mm10","chr12:26905481-26907096"
"Mouse","mm1211.0","reference","Hsp68","random","e10.5","positive","Limb, Heart","mm10","chr8:91712437-91716525"
"Mouse","mm1212.0","reference","Hsp68","random","e14.5","positive","Nose, Forebrain","mm10","chr1:118981840-118983271"
"Mouse","mm1213.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:192822359-192823920"
"Mouse","mm1213.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme, Other","mm10","chr1:192822359-192823920"
"Mouse","mm1214.0","reference","Hsp68","random","e11.5","positive","Midbrain, Neural tube, Dorsal root ganglion, Somite","mm10","chr15:101982992-101985077"
"Mouse","mm1214.0","reference","Hsp68","random","e14.5","negative","","mm10","chr15:101982992-101985077"
"Mouse","mm1215.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Nose, Limb, Midbrain","mm10","chr5:37892953-37894584"
"Mouse","mm1215.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme, Nose, Limb","mm10","chr5:37892953-37894584"
"Mouse","mm1216.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme","mm10","chr2:26494058-26495654"
"Mouse","mm1217.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme","mm10","chr16:93552791-93554369"
"Mouse","mm1218.0","reference","Hsp68","random","e14.5","positive","Tail","mm10","chr17:84532419-84534038"
"Mouse","mm1219.0","reference","Hsp68","random","e14.5","negative","","mm10","chr19:47658117-47660137"
"Mouse","mm122.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr12:69757412-69759262"
"Mouse","mm1223.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr12:56470061-56472840"
"Mouse","mm1224.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain","mm10","chr2:73168575-73170734"
"Mouse","mm1225.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain","mm10","chr1:89671077-89672513"
"Mouse","mm1226.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr1:168275557-168276614"
"Mouse","mm1227.0","reference","Hsp68","random","e12.5","positive","Nose, Limb, Forebrain","mm10","chr2:34252167-34253681"
"Mouse","mm1228.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Neural tube","mm10","chr16:72509916-72511610"
"Mouse","mm123.0","reference","Hsp68","random","e11.5","positive","Nose, Limb, Neural tube, Heart","mm10","chr6:72215186-72218828"
"Mouse","mm1230.0","reference","Hsp68","random","e12.5","negative","","mm10","chr19:15229415-15230993"
"Mouse","mm1232.0","reference","Hsp68","random","e12.5","negative","","mm10","chr2:22619618-22620947"
"Mouse","mm1233.0","reference","Hsp68","random","e12.5","positive","Ear, Forebrain","mm10","chr2:158555782-158558218"
"Mouse","mm1234.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr8:112266616-112270647"
"Mouse","mm1235.0","reference","Hsp68","random","e12.5","negative","","mm10","chr5:131524696-131525915"
"Mouse","mm1237.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Hindbrain","mm10","chr8:90534901-90537199"
"Mouse","mm1239.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr1:167605992-167607452"
"Mouse","mm1240.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr13:83748133-83750728"
"Mouse","mm1241.0","reference","Hsp68","random","e12.5","positive","Midbrain, Eye","mm10","chr15:89172814-89173846"
"Mouse","mm1242.0","reference","Hsp68","random","e12.5","positive","Forebrain, Eye","mm10","chr18:76533400-76534646"
"Mouse","mm1244.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Hindbrain","mm10","chr10:95238797-95240840"
"Mouse","mm1245.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr4:13598890-13601073"
"Mouse","mm1247.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr12:26929754-26931584"
"Mouse","mm1249.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Eye","mm10","chr5:112001296-112003216"
"Mouse","mm1250.0","reference","Hsp68","random","e12.5","positive","Nose, Forebrain, Midbrain","mm10","chr1:64087359-64088919"
"Mouse","mm1252.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Eye","mm10","chr7:109231462-109232548"
"Mouse","mm1253.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr13:107765735-107767980"
"Mouse","mm1255.0","reference","Hsp68","random","e12.5","negative","","mm10","chr14:122871554-122872677"
"Mouse","mm1256.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr12:52137409-52139284"
"Mouse","mm1257.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain","mm10","chr10:91880828-91882672"
"Mouse","mm1260.0","reference","Hsp68","random","e12.5","negative","","mm10","chr3:48803804-48805186"
"Mouse","mm1261.0","reference","Hsp68","random","e12.5","positive","Midbrain","mm10","chr4:107024536-107026405"
"Mouse","mm1262.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr2:28779588-28780939"
"Mouse","mm1263.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr5:112050175-112052174"
"Mouse","mm1264.0","reference","Hsp68","random","e12.5","negative","","mm10","chr5:111835757-111837585"
"Mouse","mm1266.0","reference","Hsp68","random","e12.5","positive","Branchial arch, Forebrain, Neural tube","mm10","chr12:107084836-107086086"
"Mouse","mm127.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr11:86586196-86587829"
"Mouse","mm1270.0","reference","Hsp68","random","e12.5","positive","Midbrain","mm10","chr4:154408643-154410364"
"Mouse","mm1271.0","reference","Hsp68","random","e12.5","negative","","mm10","chr4:8787574-8789724"
"Mouse","mm1272.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain, Somite","mm10","chr5:19802714-19804162"
"Mouse","mm1273.0","reference","Hsp68","random","e12.5","positive","Forebrain, Neural tube","mm10","chr7:129842043-129843301"
"Mouse","mm1274.0","reference","Hsp68","random","e12.5","positive","Midbrain","mm10","chr12:12866027-12867696"
"Mouse","mm1275.0","reference","Hsp68","random","e12.5","positive","Tail, Forebrain, Midbrain, Eye","mm10","chr13:94545307-94546953"
"Mouse","mm1276.0","reference","Hsp68","random","e12.5","positive","Branchial arch, Nose, Forebrain, Midbrain, Neural tube, Eye","mm10","chr14:98108431-98109735"
"Mouse","mm1277.0","reference","Hsp68","random","e12.5","negative","","mm10","chr4:82703051-82707161"
"Mouse","mm1278.0","reference","Hsp68","random","e12.5","positive","Nose","mm10","chr13:59147782-59149402"
"Mouse","mm1279.0","reference","Hsp68","random","e12.5","positive","Midbrain","mm10","chr19:58076582-58078404"
"Mouse","mm1280.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain","mm10","chr12:26885346-26887285"
"Mouse","mm1281.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain, Midbrain","mm10","chr2:63981740-63983686"
"Mouse","mm1282.0","reference","Hsp68","random","e11.5","negative","","mm10","chr5:119795903-119797675"
"Mouse","mm1283.0","reference","Hsp68","random","e11.5","positive","Branchial arch","mm10","chr8:57333128-57334891"
"Mouse","mm1284.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr8:57327753-57329581"
"Mouse","mm1285.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:112449529-112451421"
"Mouse","mm1286.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Limb, Eye, Melanocytes","mm10","chr15:37197463-37200206"
"Mouse","mm1286.0","reference","Hsp68","random","e14.5","positive","Nose, Ear, Tail, Melanocytes","mm10","chr15:37197463-37200206"
"Mouse","mm1287.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:37209260-37210873"
"Mouse","mm1288.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr14:55003765-55004913"
"Mouse","mm1289.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:37192250-37193387"
"Mouse","mm129.0","reference","Hsp68","random","e11.5","negative","","mm10","chr4:13831422-13834010"
"Mouse","mm1290.0","reference","Hsp68","random","e11.5","positive","Limb, Hindbrain, Other","mm10","chr11:17449238-17451378"
"Mouse","mm1291.0","reference","Hsp68","random","e14.5","positive","Limb, Forebrain","mm10","chr4:32179865-32181436"
"Mouse","mm1292.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme, Forebrain","mm10","chr2:160544657-160546657"
"Mouse","mm1293.0","reference","Hsp68","random","e14.5","positive","Facial mesenchyme","mm10","chr5:111890019-111892327"
"Mouse","mm1294.0","reference","Hsp68","random","e11.5","positive","Other","mm10","chr14:46221282-46223519"
"Mouse","mm1294.0","reference","Hsp68","random","e14.5","negative","","mm10","chr14:46221282-46223519"
"Mouse","mm1295.0","reference","Hsp68","random","e11.5","positive","Forebrain","mm10","chr8:126665421-126667756"
"Mouse","mm1296.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Eye","mm10","chr9:23010878-23012755"
"Mouse","mm1297.0","reference","Hsp68","random","e11.5","positive","Other","mm10","chr4:131483172-131485713"
"Mouse","mm1298.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Forebrain, Eye, Heart","mm10","chr2:166426404-166428660"
"Mouse","mm1299.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Forebrain, Midbrain, Hindbrain, Eye","mm10","chr11:96872256-96874454"
"Mouse","mm13.0","reference","Hsp68","random","e11.5","positive","Nose, Limb, Forebrain, Hindbrain","mm10","chr15:13391898-13395636"
"Mouse","mm130.0","reference","Hsp68","random","e11.5","positive","Heart, Liver","mm10","chr9:24887072-24890068"
"Mouse","mm1300.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr13:51220265-51222697"
"Mouse","mm1301.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:44631515-44633626"
