Pubmed	Chromosome	Start_position	End_position	Enhancer_related_genes	Description	Species	Tissue_class	Experiment_class	Title	SNP_related	SNP_id	Disease	Cell_class	Enhancer_id	Enhancer_experiment	Enhancer_tar_ex_De	Enhancer_type	target_gene_strong_experiment	target_gene_weak_experiment	target_gene_experiment_description	target_gene_other_name	Enhancer_function	Enhancer_function_experiment	En_function_ex_de	TF_name	TF_other_name	Experiment	TF_experiment_de	SNP_position	SNP_experiment	Target_gene
29344006	chr6	31572978	31574978	TNF	Results revealed that PAI-1, TNF, and MIP-2 expression were inhibited by theophylline, an HDAC2 enhancer, in a RAW macrophage cell line, following LPS-induced inflammation.	human	Connective tissue	High+Lowthroughput	Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression	否		Sepsis	macrophage	E_01_0006	ChIP,qRT-PCR,Western blot	Results revealed that PAI-1, TNF, and MIP-2 expression were inhibited by theophylline, an HDAC2 enhancer, in a RAW macrophage cell line, following LPS-induced inflammation.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			Results revealed that PAI-1, TNF, and MIP-2 expression were inhibited by theophylline, an HDAC2 enhancer, in a RAW macrophage cell line, following LPS-induced inflammation.	Immunohistochemical staining	Results revealed that PAI-1, TNF, and MIP-2 expression were inhibited by theophylline, an HDAC2 enhancer, in a RAW macrophage cell line, following LPS-induced inflammation.	TNF		ChIP,qRT-PCR,Western blot	Results revealed that PAI-1, TNF, and MIP-2 expression were inhibited by theophylline, an HDAC2 enhancer, in a RAW macrophage cell line, following LPS-induced inflammation.			
29343853	chr7	78700257	78702257	Acan	Thus, the Acan enhancers orchestrate the precise spatiotemporal expression of this gene in cartilage types at different stages of development and adulthood	mouse	Cartilage tissue	High+Lowthroughput	Differential tissue specific, temporal and spatial expression patterns of the Aggrecan gene is modulated by independent enhancer elements	否		In debilitating diseases such as osteoarthritis, where increased mechanical stress on chondrocytes.	chondroblast	E_02_0004	Western blot	Thus, the Acan enhancers orchestrate the precise spatiotemporal expression of this gene in cartilage types at different stages of development and adulthood	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Thus, the Acan enhancers orchestrate the precise spatiotemporal expression of this gene in cartilage types at different stages of development and adulthood		Thus, the Acan enhancers orchestrate the precise spatiotemporal expression of this gene in cartilage types at different stages of development and adulthood	Immunohistochemical staining	Thus, the Acan enhancers orchestrate the precise spatiotemporal expression of this gene in cartilage types at different stages of development and adulthood			Western blot				Acan
29343853	chr17	72118279	72120279	SOX9	The transcription factor SOX9 interacted with all the enhancers in vitro and mutation of SOX9 binding sites in one of the enhancers (−30) resulted in a loss of its chondrocyte specificity and ectopic enhancer reporter activity.	human	Cartilage tissue	High+Lowthroughput	Differential tissue specific, temporal and spatial expression patterns of the Aggrecan gene is modulated by independent enhancer elements	否		In debilitating diseases such as osteoarthritis, where increased mechanical stress on chondrocytes.	chondroblast	E_02_0004	Western blot	The transcription factor SOX9 interacted with all the enhancers in vitro and mutation of SOX9 binding sites in one of the enhancers (−30) resulted in a loss of its chondrocyte specificity and ectopic enhancer reporter activity.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			The transcription factor SOX9 interacted with all the enhancers in vitro and mutation of SOX9 binding sites in one of the enhancers (−30) resulted in a loss of its chondrocyte specificity and ectopic enhancer reporter activity.	Immunohistochemical staining	The transcription factor SOX9 interacted with all the enhancers in vitro and mutation of SOX9 binding sites in one of the enhancers (−30) resulted in a loss of its chondrocyte specificity and ectopic enhancer reporter activity.	SOX9		Western blot	The transcription factor SOX9 interacted with all the enhancers in vitro and mutation of SOX9 binding sites in one of the enhancers (−30) resulted in a loss of its chondrocyte specificity and ectopic enhancer reporter activity.			
29343500	chr9	123505056	123507056	Ccr9	Furthermore, cbfβ2 endows extrathymic progenitors with thymus-homing capacity by inducing expression of the principal thymus-homing receptor, ccr9.	mouse	Thymus	High+Lowthroughput	Cbfβ2 controls differentiation of and confers homing capacity to prethymic progenitors	否		thymus homing	thymocyte	E_02_0005	Western blot,ChIP-seq,RNA-seq	Furthermore, cbfβ2 endows extrathymic progenitors with thymus-homing capacity by inducing expression of the principal thymus-homing receptor, ccr9.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Furthermore, cbfβ2 endows extrathymic progenitors with thymus-homing capacity by inducing expression of the principal thymus-homing receptor, ccr9.		Furthermore, cbfβ2 endows extrathymic progenitors with thymus-homing capacity by inducing expression of the principal thymus-homing receptor, ccr9.	Immunohistochemical staining	Furthermore, cbfβ2 endows extrathymic progenitors with thymus-homing capacity by inducing expression of the principal thymus-homing receptor, ccr9.			Western blot,ChIP-seq,RNA-seq				Ccr9
29343500	chr8	105894833	105896833	Cbfb	Cbfβ forms transcription factor complexes with runx proteins, and here we show that cbfβ2, encoded by an rnA splice variant of the cbfb gene, is essential for extrathymic differentiation of t cell progenitors.	mouse	Thymus	High+Lowthroughput	Cbfβ2 controls differentiation of and confers homing capacity to prethymic progenitors	否		thymus homing	thymocyte	E_02_0005	Western blot,ChIP-seq,RNA-seq	Cbfβ forms transcription factor complexes with runx proteins, and here we show that cbfβ2, encoded by an rnA splice variant of the cbfb gene, is essential for extrathymic differentiation of t cell progenitors.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Cbfβ forms transcription factor complexes with runx proteins, and here we show that cbfβ2, encoded by an rnA splice variant of the cbfb gene, is essential for extrathymic differentiation of t cell progenitors.		Cbfβ forms transcription factor complexes with runx proteins, and here we show that cbfβ2, encoded by an rnA splice variant of the cbfb gene, is essential for extrathymic differentiation of t cell progenitors.	Immunohistochemical staining	Cbfβ forms transcription factor complexes with runx proteins, and here we show that cbfβ2, encoded by an rnA splice variant of the cbfb gene, is essential for extrathymic differentiation of t cell progenitors.			Western blot,ChIP-seq,RNA-seq				Cbfb
29343483	chr7	34815932	34817932	Cebpa	Mechanistically, we demonstrate that NR4A1/3 restrict HSC proliferation in part through activation of a C/EBPα-driven anti-proliferative network by directly binding to a hematopoietic-specific Cebpa enhancer and activating Cebpa transcription.	mouse	Bone marrow	High+Lowthroughput	NR4A1 and NR4A3 restrict HSC proliferation via reciprocal regulation of C/EBPα and inflammatory signaling	否		myelodysplastic disease	hematopoietic stem cell	E_02_0006	RT-qPCR	Mechanistically, we demonstrate that NR4A1/3 restrict HSC proliferation in part through activation of a C/EBPα-driven anti-proliferative network by directly binding to a hematopoietic-specific Cebpa enhancer and activating Cebpa transcription.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Mechanistically, we demonstrate that NR4A1/3 restrict HSC proliferation in part through activation of a C/EBPα-driven anti-proliferative network by directly binding to a hematopoietic-specific Cebpa enhancer and activating Cebpa transcription.		Mechanistically, we demonstrate that NR4A1/3 restrict HSC proliferation in part through activation of a C/EBPα-driven anti-proliferative network by directly binding to a hematopoietic-specific Cebpa enhancer and activating Cebpa transcription.	Immunohistochemical staining	Mechanistically, we demonstrate that NR4A1/3 restrict HSC proliferation in part through activation of a C/EBPα-driven anti-proliferative network by directly binding to a hematopoietic-specific Cebpa enhancer and activating Cebpa transcription.			RT-qPCR				Cebpa
29343483	chr12	52019947	52021947	NR4A1	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	human,mouse	Bone marrow	High+Lowthroughput	NR4A1 and NR4A3 restrict HSC proliferation via reciprocal regulation of C/EBPα and inflammatory signaling	否		myelodysplastic disease	hematopoietic stem cell	E_02_0006	RT-qPCR	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses		Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	Immunohistochemical staining	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses			RT-qPCR				NR4A1
29343483	chr9	99818517	99820517	NR4A3	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	human,mouse	Bone marrow	High+Lowthroughput	NR4A1 and NR4A3 restrict HSC proliferation via reciprocal regulation of C/EBPα and inflammatory signaling	否		myelodysplastic disease	hematopoietic stem cell	E_02_0006	RT-qPCR	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses		Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses	Immunohistochemical staining	Taken together, our results reveal a novel coordinate control of HSC quiescence by NR4A1/3 through direct activation of C/EBPα and suppression of activation of NF-κB-driven proliferative inflammatory responses			RT-qPCR				NR4A3
29343442	chr12	57092345	57094345	STAT6	Thus, the IL-4-STAT6 signaling pathway establishes an alternative polarization-specific epigenenomic signature resulting in dampened macrophage responsiveness to inflammatory stimuli.	human,mouse	Bone marrow	High+Lowthroughput	The Transcription Factor STAT6 Mediates Direct Repression of Inflammatory Enhancers and Limits Activation of Alternatively Polarized Macrophages	否		inflammatory diseases	macrophage	E_02_0007	ATAC-seq, ChIP-seq,GRO-seq,RNA-seq,Western Blot,qPCR,ChIP-qPCR	Thus, the IL-4-STAT6 signaling pathway establishes an alternative polarization-specific epigenenomic signature resulting in dampened macrophage responsiveness to inflammatory stimuli.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Thus, the IL-4-STAT6 signaling pathway establishes an alternative polarization-specific epigenenomic signature resulting in dampened macrophage responsiveness to inflammatory stimuli.		Thus, the IL-4-STAT6 signaling pathway establishes an alternative polarization-specific epigenenomic signature resulting in dampened macrophage responsiveness to inflammatory stimuli.	Immunohistochemical staining	Thus, the IL-4-STAT6 signaling pathway establishes an alternative polarization-specific epigenenomic signature resulting in dampened macrophage responsiveness to inflammatory stimuli.			ATAC-seq, ChIP-seq,GRO-seq,RNA-seq,Western Blot,qPCR,ChIP-qPCR				STAT6
29343442	chr5	141618696	141620696	HDAC3	The Presence of HDAC3 Is Required for IL-4-STAT6-Mediated Repression on a Subset of Genes	human,mouse	Bone marrow	High+Lowthroughput	The Transcription Factor STAT6 Mediates Direct Repression of Inflammatory Enhancers and Limits Activation of Alternatively Polarized Macrophages	否		ainflammatory diseases	macrophage	E_02_0007	ATAC-seq, ChIP-seq,GRO-seq,RNA-seq,Western Blot,qPCR,ChIP-qPCR	The Presence of HDAC3 Is Required for IL-4-STAT6-Mediated Repression on a Subset of Genes	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	The Presence of HDAC3 Is Required for IL-4-STAT6-Mediated Repression on a Subset of Genes		The Presence of HDAC3 Is Required for IL-4-STAT6-Mediated Repression on a Subset of Genes	Immunohistochemical staining	The Presence of HDAC3 Is Required for IL-4-STAT6-Mediated Repression on a Subset of Genes			ATAC-seq, ChIP-seq,GRO-seq,RNA-seq,Western Blot,qPCR,ChIP-qPCR				HDAC3
29342503	chr5	173229371	173231371	NKX2-5	NKX2-5 is a homeobox transcription factor required for the formation of the heart and vessels during development, with significant postnatal downregulation and reactivation in disease states characterised by vascular remodelling.	human	Vascular tissue	High+Lowthroughput	Molecular Basis for Dysregulated Activation of NKX2-5 in the Vascular Remodeling of Systemic Sclerosis	是	rs3095870	scleroderma associated pulmonary hypertensio	smooth muscle cell of the pulmonary artery	E_01_0007	Western blot,qPCR	NKX2-5 is a homeobox transcription factor required for the formation of the heart and vessels during development, with significant postnatal downregulation and reactivation in disease states characterised by vascular remodelling.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			NKX2-5 is a homeobox transcription factor required for the formation of the heart and vessels during development, with significant postnatal downregulation and reactivation in disease states characterised by vascular remodelling.	Immunohistochemical staining	NKX2-5 is a homeobox transcription factor required for the formation of the heart and vessels during development, with significant postnatal downregulation and reactivation in disease states characterised by vascular remodelling.	NKX2-5		Western blot,qPCR	NKX2-5 is a homeobox transcription factor required for the formation of the heart and vessels during development, with significant postnatal downregulation and reactivation in disease states characterised by vascular remodelling.			
29342503	chr11	12671461	12673461	TEAD1	TEAD1 is a member of TEA/ATTS domain family transcription regulators with distinct and important roles in VSMC differentiation and in cardiovascular disease	human	Vascular tissue	High+Lowthroughput	Molecular Basis for Dysregulated Activation of NKX2-5 in the Vascular Remodeling of Systemic Sclerosis	是	rs3095870	scleroderma associated pulmonary hypertensio	smooth muscle cell of the pulmonary artery	E_01_0007	Western blot,qPCR	TEAD1 is a member of TEA/ATTS domain family transcription regulators with distinct and important roles in VSMC differentiation and in cardiovascular disease	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			TEAD1 is a member of TEA/ATTS domain family transcription regulators with distinct and important roles in VSMC differentiation and in cardiovascular disease	Immunohistochemical staining	TEAD1 is a member of TEA/ATTS domain family transcription regulators with distinct and important roles in VSMC differentiation and in cardiovascular disease	TEAD1		Western blot,qPCR	TEAD1 is a member of TEA/ATTS domain family transcription regulators with distinct and important roles in VSMC differentiation and in cardiovascular disease			
29342133	chr15	63714919	63952099	Myc	The transcription factor Myc is essential for the regulation of haematopoietic stem cells and progenitors and has a critical function in haematopoietic malignancies	mouse	Haematopoietic tissue	Low+High throughput	A Myc enhancer cluster regulates normal and leukaemic haematopoietic stem cell hierarchies	否	--	Leukaemia	hematopoietic stem cell	E_02_0008	ChIP-seq	Here we show that an evolutionarily conserved region located 1.7 megabases downstream of the Myc gene that has previously been labelled as a ‘super_x0002_enhancer’2 is essential for the regulation of Myc expression levels in both normal haematopoietic and leukaemic stem cell hierarchies in mice and humans. Deletion of this region in mice leads to a complete loss of Myc expression in haematopoietic stem cells and progenitors.	Super-Enhancer	--	ChIP-seq,ATAC-seq,RT-qPCR	In line with this hypothesis, chromatin conformation capture performedon mouse leukaemic cells2 as well as DNA proximity analysis using fluorescence in situ hybridization (DNA FISH) in LSK cells showed that the Myc promoter and BENC are in close physical proximity to each other, suggesting that cis-regulation is mediated by chromosomal looping in haematopoietic stem and progenitor cells.	AU0167572,Niard,Nird,bHLHe39,?Myc	Clusters of enhancers, such as BENC, form highly combinatorial systems that allow precise control of gene expression across normal cellular hierarchies and which also can be hijacked in malignancies.	ATAC-seq,RT-qPCR	Analysis of mice carrying deletions of individual Enhancer modules suggests that specific Myc expression levels throughout most of the haematopoietic hierarchy are controlled by the combinatorial and additive activity of individual Enhancer modules, which collectively function as a ‘blood Enhancer cluster’(BENC).	--	--	--	--	--	--	Myc
29339538	chr7	55016139	55018139	EGFR	Whole genome ChIP-seq and RNA-seq results revealed that CaSki cells contained super-enhancers in the proto-oncogenes EGFR and c-MET.	human	Cervix	High+Lowthroughput	E6 Protein Expressed by High-Risk HPV Activates Super-Enhancers of the EGFR and c-MET Oncogenes by Destabilizing the Histone Demethylase KDM5C	否		human papillomaviruses	CaSki cell(human cervical cancer cell line)	E_01_0008	ChIP-seq,RNA-seq	Whole genome ChIP-seq and RNA-seq results revealed that CaSki cells contained super-enhancers in the proto-oncogenes EGFR and c-MET.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			Whole genome ChIP-seq and RNA-seq results revealed that CaSki cells contained super-enhancers in the proto-oncogenes EGFR and c-MET.	Immunohistochemical staining	Whole genome ChIP-seq and RNA-seq results revealed that CaSki cells contained super-enhancers in the proto-oncogenes EGFR and c-MET.	EGFR		ChIP-seq,RNA-seq	Whole genome ChIP-seq and RNA-seq results revealed that CaSki cells contained super-enhancers in the proto-oncogenes EGFR and c-MET.			
